BROADWAY_SHOWS_0001,"#3 - 11,200 Shows
1997-Present",The Lion King
BROADWAY_SHOWS_0002,The Lion King,"#3 - 11,200 Shows
1997-Present"
BROADWAY_SHOWS_0003,"#1 - 13,981 Shows
1988-2023",The Phantom of the Opera
BROADWAY_SHOWS_0004,The Phantom of the Opera,"#1 - 13,981 Shows
1988-2023"
BROADWAY_SHOWS_0005,"#2 - 11,600 Shows
1996-Present",Chicago (1996 Revival)
BROADWAY_SHOWS_0006,Chicago (1996 Revival),"#2 - 11,600 Shows
1996-Present"
BROADWAY_SHOWS_0007,"#4 - 8,800 Shows
2003-Present",Wicked
BROADWAY_SHOWS_0008,Wicked,"#4 - 8,800 Shows
2003-Present"
BROADWAY_SHOWS_0009,"#5 - 7,485 Shows
1982-2000",Cats
BROADWAY_SHOWS_0010,Cats,"#5 - 7,485 Shows
1982-2000"
BROADWAY_SHOWS_0011,"#6 - 6,680 Shows
1987-2003",Les Miserables
BROADWAY_SHOWS_0012,Les Miserables,"#6 - 6,680 Shows
1987-2003"
BROADWAY_SHOWS_0013,"#7 - 6,137 Shows
1975-1990","A Chorus Line "
BROADWAY_SHOWS_0014,"A Chorus Line ","#7 - 6,137 Shows
1975-1990"
BROADWAY_SHOWS_0015,"#8 - 5,959 Shows
1976-1989",Oh! Calcutta! (1976 Revival)
BROADWAY_SHOWS_0016,Oh! Calcutta! (1976 Revival),"#8 - 5,959 Shows
1976-1989"
BROADWAY_SHOWS_0017,"#9 - 5,758 Shows
2001-2015",Mama Mia!
BROADWAY_SHOWS_0018,Mama Mia!,"#9 - 5,758 Shows
2001-2015"
BROADWAY_SHOWS_0019,"#11 - 5,462 Shows
1994-2007",Beauty and the Beast
BROADWAY_SHOWS_0020,Beauty and the Beast,"#11 - 5,462 Shows
1994-2007"
BROADWAY_SHOWS_0021,"#12 - 5,100 Shows
1996-2008",Rent
BROADWAY_SHOWS_0022,Rent,"#12 - 5,100 Shows
1996-2008"
BROADWAY_SHOWS_0023,"#10 - 5,600 Shows
2011-Present","The Book of Mormon "
BROADWAY_SHOWS_0024,"The Book of Mormon ","#10 - 5,600 Shows
2011-Present"
BROADWAY_SHOWS_0025,"#13 - 4,600 Shows
2005-2017",Jersey Boys
BROADWAY_SHOWS_0026,Jersey Boys,"#13 - 4,600 Shows
2005-2017"
BROADWAY_SHOWS_0027,"#15 - 4,100 Shows
1991-2001",Miss Saigon
BROADWAY_SHOWS_0028,Miss Saigon,"#15 - 4,100 Shows
1991-2001"
BROADWAY_SHOWS_0029,"#14 - 4,400 Shows
2014-Present",Aladdin
BROADWAY_SHOWS_0030,Aladdin,"#14 - 4,400 Shows
2014-Present"
BROADWAY_SHOWS_0031,"#17 - 3,500 Shows
1980-1989",42nd Street
BROADWAY_SHOWS_0032,42nd Street,"#17 - 3,500 Shows
1980-1989"
BROADWAY_SHOWS_0033,"#18 - 3,400 Shows
1972-1980",Grease
BROADWAY_SHOWS_0034,Grease,"#18 - 3,400 Shows
1972-1980"
BROADWAY_SHOWS_0035,"#16 - 3,800 Shows
2015-Present",Hamilton
BROADWAY_SHOWS_0036,Hamilton,"#16 - 3,800 Shows
2015-Present"
BROADWAY_SHOWS_0037,"#19 - 3,200 Shows
1964-1972",Fiddler on the Roof
BROADWAY_SHOWS_0038,Fiddler on the Roof,"#19 - 3,200 Shows
1964-1972"
BROADWAY_SHOWS_0039,"#20 - 3,200 Shows 
1939-1947",Life with Father
BROADWAY_SHOWS_0040,Life with Father,"#20 - 3,200 Shows 
1939-1947"
